,subject,task,sensor,start,stop,length,outliers,extended,continuous,fixed,final_start,final_stop,Start_dif,Stop_dif,Start_dif_1s,Start_dif_notes,Stop_dif_1s,Stop_dif_notes,pair_start,pair_stop
111,PDMotion_0018_Test,FT,left_2,43.2125,53.375,10.1625,False,-1.0,-1,regular,43.2125,53.375,2.475,2.3125,0,,0,,43.2125,55.6875
112,PDMotion_0018_Test,TT,right_1,11.65,25.6625,14.0125,False,-1.0,-1,regular,11.65,25.6625,0.0375,0.025,0,,0,,11.6125,25.6625
113,PDMotion_0018_Test,TT,right_2,11.6125,25.6375,14.025,False,-1.0,-1,regular,11.6125,25.6375,0.0375,0.025,0,,0,,11.6125,25.6625
114,PDMotion_0018_Test,TT,left_1,36.15,43.0,6.85,False,46.15,-1,extended,36.15,46.15,0.0,0.0,0,,0,,36.15,46.15
115,PDMotion_0018_Test,TT,left_2,36.15,43.0,6.85,False,46.15,-1,extended,36.15,46.15,0.0,0.0,0,,0,,36.15,46.15
116,PDMotion_0018_Test,LA,right_1,27.6375,37.8625,10.225,False,-1.0,-1,regular,27.6375,37.8625,0.0125,0.0125,0,,0,,27.6375,37.8625
117,PDMotion_0018_Test,LA,right_2,27.65,37.85,10.2,False,-1.0,-1,regular,27.65,37.85,0.0125,0.0125,0,,0,,27.6375,37.8625
118,PDMotion_0018_Test,LA,left_1,63.1,72.725,9.625,False,73.1,-1,extended,63.1,73.1,0.025,0.1125,0,,0,,63.1,73.2125
119,PDMotion_0018_Test,LA,left_2,63.125,73.2125,10.0875,False,-1.0,-1,regular,63.125,73.2125,0.025,0.1125,0,,0,,63.1,73.2125
120,PDMotion_0007_Test,PS,right_1,15.7125,23.075,7.3625,False,25.7125,-1,extended,15.7125,25.7125,0.0125,0.0125,0,,0,,15.7125,25.725
121,PDMotion_0007_Test,PS,right_2,15.725,22.7625,7.0375,False,25.725,-1,extended,15.725,25.725,0.0125,0.0125,0,,0,,15.7125,25.725
122,PDMotion_0007_Test,PS,left_1,35.9625,41.775,5.8125,False,45.9625,-1,extended,35.9625,45.9625,2.475,2.475,0,,0,,33.4875,45.9625
123,PDMotion_0007_Test,PS,left_2,33.4875,41.6875,8.2,False,43.4875,-1,extended,33.4875,43.4875,2.475,2.475,0,,0,,33.4875,45.9625
124,PDMotion_0007_Test,HM,right_1,23.875,30.3125,6.4375,False,33.875,-1,extended,23.875,33.875,0.025,0.025,0,,0,,23.875,33.9
125,PDMotion_0007_Test,HM,right_2,23.9,30.325,6.425,False,33.9,-1,extended,23.9,33.9,0.025,0.025,0,,0,,23.875,33.9
126,PDMotion_0007_Test,HM,left_1,39.15,43.9625,4.8125,False,49.15,-1,extended,39.15,49.15,0.0125,0.0125,0,,0,,39.15,49.1625
127,PDMotion_0007_Test,HM,left_2,39.1625,43.85,4.6875,False,49.1625,-1,extended,39.1625,49.1625,0.0125,0.0125,0,,0,,39.15,49.1625
128,PDMotion_0007_Test,FT,right_1,17.0375,22.4,5.3625,False,27.0375,-1,extended,17.0375,27.0375,0.4125,0.4125,0,,0,,17.0375,27.45
129,PDMotion_0007_Test,FT,right_2,17.45,22.35,4.9,False,27.45,-1,extended,17.45,27.45,0.4125,0.4125,0,,0,,17.0375,27.45
130,PDMotion_0007_Test,FT,left_1,35.1125,40.6,5.4875,False,45.1125,-1,extended,35.1125,45.1125,2.275,2.275,0,,0,,32.8375,45.1125
131,PDMotion_0007_Test,FT,left_2,32.8375,40.6125,7.775,False,42.8375,-1,extended,32.8375,42.8375,2.275,2.275,0,,0,,32.8375,45.1125
132,PDMotion_0007_Test,TT,right_1,13.275,19.4875,6.2125,False,23.275,-1,extended,13.275,23.275,0.0125,0.0125,0,,0,,13.2625,23.275
133,PDMotion_0007_Test,TT,right_2,13.2625,19.4875,6.225,False,23.2625,-1,extended,13.2625,23.2625,0.0125,0.0125,0,,0,,13.2625,23.275
134,PDMotion_0007_Test,TT,left_1,25.3,33.325,8.025,False,35.3,-1,extended,25.3,35.3,1.45,1.45,0,,0,,25.3,36.75
135,PDMotion_0007_Test,TT,left_2,26.75,33.225,6.475,False,36.75,-1,extended,26.75,36.75,1.45,1.45,0,,0,,25.3,36.75
136,PDMotion_0007_Test,LA,right_1,14.375,20.4125,6.0375,False,24.375,-1,extended,14.375,24.375,0.0125,0.0125,0,,0,,14.3625,24.375
137,PDMotion_0007_Test,LA,right_2,14.3625,20.4,6.0375,False,24.3625,-1,extended,14.3625,24.3625,0.0125,0.0125,0,,0,,14.3625,24.375
138,PDMotion_0007_Test,LA,left_1,26.775,33.3,6.525,False,36.775,-1,extended,26.775,36.775,0.0,0.0,0,,0,,26.775,36.775
139,PDMotion_0007_Test,LA,left_2,26.775,33.325,6.55,False,36.775,-1,extended,26.775,36.775,0.0,0.0,0,,0,,26.775,36.775
140,PDMotion_0013_Test,PS,right_1,13.3875,34.9,21.5125,True,-1.0,3,chunk,13.3875,25.2125,0.0125,1.0875,0,,0,,13.3875,26.3
